,month_year,AUD_USD,CPI_Diff,GDP_Diff,IRD
0,2016-03,0.7504478260869564,-0.2034,0.3919,-1.764
1,2016-04,0.7664,-0.4709,0.4378,-1.963
2,2016-05,0.7318142857142858,-0.3356,0.1535,-1.757
3,2016-06,0.7401136363636365,-0.2004,-0.1308,-2.154
4,2016-07,0.7529000000000001,-0.0651,-0.4151,-2.115
5,2016-08,0.7628695652173915,0.0452,-0.1502,-2.106
6,2016-09,0.759109523809524,0.1556,0.1146,-2.151
7,2016-10,0.7614600000000001,0.2659,0.3794,-2.23
8,2016-11,0.75316,0.1521,0.1631,-2.23
9,2016-12,0.7345809523809523,0.0383,-0.0533,-1.992
10,2017-01,0.7464842105263158,-0.0755,-0.2696,-1.951
11,2017-02,0.766415789473684,-0.1996,-0.0844,-1.688
12,2017-03,0.7622434782608698,-0.3238,0.1008,-1.79
13,2017-04,0.7533550000000001,-0.4479,0.2860,-1.828
14,2017-05,0.743681818181818,-0.3677,0.2587,-1.416
15,2017-06,0.7562227272727273,-0.2875,0.2313,-1.389
16,2017-07,0.780685,-0.2073,0.2040,-1.351
17,2017-08,0.7914652173913044,-0.1187,-0.0244,-1.246
18,2017-09,0.7973699999999999,-0.0301,-0.2529,-1.004
19,2017-10,0.7788095238095238,0.0585,-0.4813,-0.954
20,2017-11,0.761955,-0.0940,-0.3248,-0.958
21,2017-12,0.764815,-0.2466,-0.1682,-0.649
22,2018-01,0.795557142857143,-0.3991,-0.0116,-0.802
23,2018-02,0.7866526315789476,-0.6368,0.0692,-0.648
24,2018-03,0.7759454545454545,-0.8744,0.1500,-0.382
25,2018-04,0.7683619047619048,-1.1121,0.2308,-0.536
26,2018-05,0.7525136363636363,-1.0730,0.0596,-0.466
27,2018-06,0.7497571428571429,-1.0339,-0.1116,-0.591
28,2018-07,0.7403190476190475,-0.9948,-0.2828,-0.343
29,2018-08,0.7324913043478263,-0.7887,-0.2629,-0.126
30,2018-09,0.7206052631578947,-0.5825,-0.2430,-0.088
31,2018-10,0.7111272727272727,-0.3764,-0.2231,-0.142
32,2018-11,0.72472,-0.4952,-0.2424,-0.013
33,2018-12,0.7169,-0.6140,-0.2618,0.087
34,2019-01,0.715055,-0.7328,-0.2812,0.271
35,2019-02,0.7136444444444445,-0.9423,-0.0583,0.316
36,2019-03,0.7081571428571429,-1.1519,0.1645,0.342
37,2019-04,0.7111318181818181,-1.3615,0.3874,0.659
38,2019-05,0.6945409090909092,-1.2744,0.2146,0.779
39,2019-06,0.6946049999999999,-1.1873,0.0418,0.652
40,2019-07,0.6977954545454544,-1.1003,-0.1310,0.964
41,2019-08,0.6774636363636363,-0.9295,-0.0985,0.967
42,2019-09,0.6814899999999999,-0.7587,-0.0661,0.894
43,2019-10,0.6798045454545454,-0.5880,-0.0337,1.034
44,2019-11,0.6827368421052631,-0.6158,0.3110,1.224
45,2019-12,0.6886952380952381,-0.6437,0.6558,1.112
46,2020-01,0.685147619047619,-0.6716,1.0005,1.144
47,2020-02,0.6664368421052632,-1.1565,1.3656,1.323
48,2020-03,0.6217818181818182,-1.6414,1.7307,1.264
49,2020-04,0.6312409090909091,-2.1263,2.0959,1.011
