DATE,USA_CPI
2016-01-01,100.1558256721389333
2016-04-01,101.3300030518203333
2016-07-01,101.6671096728646667
2016-10-01,101.8933944259973333
2017-01-01,102.6991031585640000
2017-04-01,103.2572909678770000
2017-07-01,103.6668255863503333
2017-10-01,104.0510455649453333
2018-01-01,104.9730610040630000
2018-04-01,106.0575120490653333
2018-07-01,106.4046038891723333
2018-10-01,106.3434268428003333
2019-01-01,106.6998007175293333
2019-04-01,107.9786119420406667
2019-07-01,108.2746525917270000
2019-10-01,108.5052970883946667
2020-01-01,108.9603980586486667
2020-04-01,108.3719733183693333
