DATE,GDP
2016-01-01,0.866590806581999
2016-04-01,0.749737830095742
2016-07-01,0.129320929939148
2016-10-01,1.00870551334179
2017-01-01,0.296047795346103
2017-04-01,0.712948341229051
2017-07-01,0.932841992444676
2017-10-01,0.474345780813337
2018-01-01,0.920074632383296
2018-04-01,0.899404203971275
2018-07-01,0.242387225872868
2018-10-01,0.105242078083658
2019-01-01,0.443935576137278
2019-04-01,0.758092606796134
2019-07-01,0.505938362155987
2019-10-01,0.552559011461254
2020-01-01,-0.262172830155693
2020-04-01,-6.99713563886934
